v,v,v
-0.139650981,4.508065769,5.353301843
-0.139650999,4.508066358,5.353301347
-0.139651017,4.508066947,5.353300849
-0.139651035,4.508067534,5.353300356
-0.139651054,4.508068124,5.353299859
-0.139651072,4.508068713,5.353299360
-0.139651090,4.508069302,5.353298867
-0.139651108,4.508069891,5.353298369
-0.139651126,4.508070478,5.353297873
-0.139651145,4.508071068,5.353297377
-0.139651163,4.508071655,5.353296880
-0.139651181,4.508072244,5.353296384
-0.139651199,4.508072833,5.353295888
-0.139651218,4.508073422,5.353295392
-0.139651236,4.508074010,5.353294895
-0.139651254,4.508074599,5.353294399
-0.139651272,4.508075188,5.353293902
-0.139651291,4.508075777,5.353293407
-0.139651309,4.508076366,5.353292911
-0.139651327,4.508076955,5.353292413
-0.139651345,4.508077542,5.353291917
-0.139651364,4.508078132,5.353291422
-0.139651382,4.508078721,5.353290925
-0.139651400,4.508079308,5.353290429
-0.139651418,4.508079898,5.353289933
-0.139651437,4.508080487,5.353289437
-0.139651455,4.508081075,5.353288941
-0.139651473,4.508081664,5.353288445
-0.139651491,4.508082253,5.353287948
-0.139651509,4.508082842,5.353287452
-0.139651528,4.508083432,5.353286955
-0.139651546,4.508084020,5.353286459
-0.139651564,4.508084609,5.353285963
-0.139651582,4.508085198,5.353285467
-0.139651601,4.508085785,5.353284970
-0.139651619,4.508086373,5.353284474
-0.139651637,4.508086963,5.353283978
-0.139651655,4.508087551,5.353283483
-0.139651674,4.508088142,5.353282986
-0.139651692,4.508088730,5.353282489
-0.139651710,4.508089317,5.353281993
-0.139651728,4.508089905,5.353281497
-0.139651746,4.508090493,5.353281002
-0.139651765,4.508091083,5.353280505
-0.139651783,4.508091672,5.353280009
-0.139651801,4.508092262,5.353279511
-0.139651820,4.508092850,5.353279016
-0.139651838,4.508093438,5.353278520
-0.139651856,4.508094027,5.353278023
-0.139651874,4.508094616,5.353277527
-0.139651892,4.508095205,5.353277031
-0.139651911,4.508095792,5.353276535
-0.139651929,4.508096384,5.353276039
-0.139651947,4.508096970,5.353275543
-0.139651965,4.508097560,5.353275046
-0.139651984,4.508098149,5.353274551
-0.139652002,4.508098737,5.353274054
-0.139652020,4.508099326,5.353273556
-0.139652038,4.508099915,5.353273061
-0.139652057,4.508100502,5.353272565
-0.139652075,4.508101093,5.353272068
-0.139652093,4.508101680,5.353271573
-0.139652111,4.508102269,5.353271076
-0.139652129,4.508102857,5.353270580
-0.139652148,4.508103447,5.353270084
-0.139652166,4.508104035,5.353269587
-0.139652184,4.508104624,5.353269091
-0.139652202,4.508105212,5.353268595
-0.139652221,4.508105801,5.353268099
-0.139652239,4.508106391,5.353267603
-0.139652257,4.508106980,5.353267107
-0.139652275,4.508107567,5.353266610
